uid,question,response,timestamp,sequence_order,split
0,563,1.0,2005-09-06 13:00:44.0,0,train
0,563,1.0,2005-09-06 13:01:46.0,1,train
0,563,1.0,2005-09-06 13:02:27.0,2,train
0,563,1.0,2005-09-06 13:03:21.0,3,train
0,563,1.0,2005-09-06 13:05:06.0,4,train
0,563,1.0,2005-09-06 13:05:41.0,5,train
0,563,1.0,2005-09-06 13:06:22.0,6,train
0,563,1.0,2005-09-06 13:06:33.0,7,train
0,563,1.0,2005-09-06 13:09:29.0,8,train
0,563,1.0,2005-09-06 13:09:59.0,9,train
0,82,1.0,2005-09-06 13:13:10.0,10,train
0,82,1.0,2005-09-06 13:13:41.0,11,train
0,82,0.0,2005-09-06 13:14:24.0,12,train
0,82,1.0,2005-09-06 13:14:48.0,13,train
0,82,1.0,2005-09-06 13:18:58.0,14,train
0,82,1.0,2005-09-06 13:19:39.0,15,train
0,851,1.0,2005-09-06 13:21:40.0,16,train
0,851,1.0,2005-09-06 13:22:52.0,17,train
0,851,1.0,2005-09-06 13:23:01.0,18,train
0,851,1.0,2005-09-06 13:23:33.0,19,train
0,851,1.0,2005-09-06 13:23:44.0,20,train
0,851,1.0,2005-09-06 13:26:04.0,21,train
0,851,0.0,2005-09-06 13:26:16.0,22,train
0,851,1.0,2005-09-06 13:26:43.0,23,train
0,851,0.0,2005-09-06 13:26:51.0,24,train
0,87,1.0,2005-09-06 13:32:06.0,25,train
0,87,0.0,2005-09-06 13:32:30.0,26,train
0,87,0.0,2005-09-06 13:33:23.0,27,train
0,87,1.0,2005-09-06 13:33:50.0,28,train
0,87,1.0,2005-09-06 13:34:46.0,29,train
0,87,1.0,2005-09-06 13:34:59.0,30,train
0,87,1.0,2005-09-06 13:35:49.0,31,train
0,87,1.0,2005-09-06 13:35:58.0,32,train
0,87,0.0,2005-09-08 12:55:47.0,33,train
0,87,0.0,2005-09-08 12:58:39.0,34,train
0,67,0.0,2005-09-08 13:01:24.0,35,train
0,67,1.0,2005-09-08 13:04:37.0,36,train
0,67,1.0,2005-09-08 13:04:48.0,37,train
0,67,1.0,2005-09-08 13:05:49.0,38,train
0,67,1.0,2005-09-08 13:06:01.0,39,train
0,67,1.0,2005-09-08 13:06:43.0,40,train
0,67,1.0,2005-09-08 13:06:56.0,41,train
0,67,0.0,2005-09-08 13:07:16.0,42,train
0,67,1.0,2005-09-08 13:07:21.0,43,train
0,94,0.0,2005-09-08 13:11:54.0,44,train
0,94,0.0,2005-09-08 13:12:26.0,45,train
0,94,0.0,2005-09-08 13:17:08.0,46,train
0,94,1.0,2005-09-08 13:28:02.0,47,train
0,94,1.0,2005-09-08 13:28:44.0,48,train
0,94,1.0,2005-09-08 13:28:53.0,49,train
0,94,0.0,2005-09-08 13:29:02.0,50,train
0,94,1.0,2005-09-08 13:29:06.0,51,train
0,49,1.0,2005-09-08 13:30:13.0,52,train
0,49,1.0,2005-09-08 13:30:53.0,53,train
0,49,1.0,2005-09-08 13:31:26.0,54,train
0,49,1.0,2005-09-08 13:31:33.0,55,train
0,49,0.0,2005-09-08 13:31:47.0,56,train
0,49,0.0,2005-09-08 13:31:53.0,57,train
0,49,1.0,2005-09-08 13:32:34.0,58,train
0,49,1.0,2005-09-08 13:32:42.0,59,train
0,49,1.0,2005-09-08 13:32:48.0,60,train
0,49,1.0,2005-09-08 13:32:56.0,61,train
0,853,0.0,2005-09-09 12:01:48.0,62,train
0,853,0.0,2005-09-09 12:31:35.0,63,train
0,853,0.0,2005-09-09 12:32:03.0,64,train
0,853,1.0,2005-09-09 12:32:49.0,65,train
0,853,1.0,2005-09-09 12:32:56.0,66,train
0,853,1.0,2005-09-09 12:33:16.0,67,train
0,853,1.0,2005-09-09 12:36:09.0,68,train
0,853,1.0,2005-09-09 12:36:22.0,69,train
0,448,0.0,2005-09-09 12:40:47.0,70,train
0,448,1.0,2005-09-09 12:42:04.0,71,train
0,448,1.0,2005-09-09 12:42:12.0,72,train
0,448,1.0,2005-09-09 12:42:21.0,73,train
0,448,1.0,2005-09-09 12:42:33.0,74,train
0,448,1.0,2005-09-09 12:42:42.0,75,train
0,857,1.0,2005-09-09 12:49:40.0,76,train
0,857,1.0,2005-09-09 12:50:11.0,77,train
0,857,1.0,2005-09-09 12:50:31.0,78,train
0,857,0.0,2005-09-09 12:51:15.0,79,train
0,857,1.0,2005-09-09 12:51:39.0,80,train
0,857,1.0,2005-09-09 12:51:48.0,81,train
0,857,1.0,2005-09-09 12:51:49.0,82,train
0,61,0.0,2005-09-09 13:15:31.0,83,train
0,61,1.0,2005-09-09 13:16:04.0,84,train
0,61,1.0,2005-09-09 13:16:21.0,85,train
0,61,1.0,2005-09-09 13:16:27.0,86,train
0,61,1.0,2005-09-09 13:16:35.0,87,train
0,61,1.0,2005-09-09 13:17:05.0,88,train
